conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,cleaned_text,normalized_text
1971614743279595750,Fri Sep 26 16:36:00 +0000 2025,0,Dapatkan bonus 10.000 saldo pas download apk Shopeepay Caranya: Upgrade ke spay plus log in dg shopee &amp; masukin kode referral FF6JWV5WP diskon promo info freelance job receh zonauang tasya farasya prabowo gibran jokowi purbaya erick thohir bahlil trump https://t.co/cziHHCGfVf https://t.co/VBpX4iTsmK,1971614743279595750,https://pbs.twimg.com/media/G1wkl7ZaAAEnYBg.jpg,,in,,0,0,0,https://x.com/undefined/status/1971614743279595750,791791758,,dapatkan bonus saldo pas download apk shopeepay caranya upgrade ke spay plus log in dg shopee amp masukin kode referral ffjwvwp diskon promo info freelance job receh zonauang tasya farasya prabowo gibran jokowi purbaya erick thohir bahlil trump,dapatkan bonus saldo pas download apk shopeepay caranya upgrade spay plus log dengan shopee amp masukin kode referral ffjwvwp diskon promo info freelance job receh zonauang tasya farasya prabowo gibran jokowi purbaya erick thohir bahlil trump
1971611406316573031,Fri Sep 26 16:22:44 +0000 2025,428,Purbaya : Jangan anda harap mereka (Asing) mau masuk kesini untuk membangun ekonomi kita gada tuh. Mereka mau kesini mau menikmati kue keberhasilan kita Asing masuk rupiah melemah siapa yg bermain? https://t.co/MbY9rXfAXH,1971611406316573031,https://pbs.twimg.com/ext_tw_video_thumb/1971611164879831040/pu/img/hhflWBf3oRGyHlRV.jpg,,in,,40,24,104,https://x.com/undefined/status/1971611406316573031,1603276472814567425,,purbaya jangan anda harap mereka asing mau masuk kesini untuk membangun ekonomi kita gada tuh mereka mau kesini mau menikmati kue keberhasilan kita asing masuk rupiah melemah siapa yg bermain,purbaya jangan anda harap mereka asing mau masuk kesini untuk membangun ekonomi kita gada tuh mereka mau kesini mau menikmati kue keberhasilan kita asing masuk rupiah melemah siapa yang bermain
1971609058928116007,Fri Sep 26 16:13:25 +0000 2025,0,Pak Dede ini org yg sangat santun. Anti ribut. Bisa jd post-nya adalah kritik pd Purbaya. Diperhalus aja bahasanya ngajak mhs utk sm² belajar,1971609058928116007,,,in,,0,0,0,https://x.com/undefined/status/1971609058928116007,86570123,,pak dede ini org yg sangat santun anti ribut bisa jd postnya adalah kritik pd purbaya diperhalus aja bahasanya ngajak mhs utk sm belajar,pak dede ini orang yang sangat santun anti ribut bisa postnya adalah kritik purbaya diperhalus aja bahasanya ngajak mhs untuk sama belajar
1971608329375105039,Fri Sep 26 16:10:31 +0000 2025,1,Kita tau turunin bunga utk naikin growth kontradiktif dg naikin bunga $ sbg insentif inflow. Let see sejenius apa Purbaya bs dapetin ke-3nya: 1. Bunga pinjaman Rp. rendah growth naik 2. Us$ inflow naik dg kasih insentif bunga us$ tinggi 3. Rupiah menguat kembali ke 16.200/us$,1971608329375105039,,,in,,1,0,0,https://x.com/undefined/status/1971608329375105039,86570123,,kita tau turunin bunga utk naikin growth kontradiktif dg naikin bunga sbg insentif inflow let see sejenius apa purbaya bs dapetin kenya bunga pinjaman rp rendah growth naik us inflow naik dg kasih insentif bunga us tinggi rupiah menguat kembali ke us,kita tau turunin bunga untuk naikin growth kontradiktif dengan naikin bunga sbg insentif inflow let see sejenius apa purbaya dapetin kenya bunga pinjaman rendah growth naik inflow naik dengan kasih insentif bunga tinggi rupiah menguat kembali
1971605683603951703,Fri Sep 26 16:00:00 +0000 2025,0,Bonus pas download apk Shopeepay Rp. 10.000 saldo Caranya: Upgrade ke spay plus log in dg akun shopee &amp; masukin kode referral FF6JWV5WP diskon promo info freelance job receh zonauang tasya farasya prabowo gibran jokowi purbaya erick thohir bahlil trump https://t.co/cziHHCGfVf https://t.co/9lSBsoTH2J,1971605683603951703,https://pbs.twimg.com/media/G1wlEoYaEAAGhbt.jpg,,in,,0,0,0,https://x.com/undefined/status/1971605683603951703,791791758,,bonus pas download apk shopeepay rp saldo caranya upgrade ke spay plus log in dg akun shopee amp masukin kode referral ffjwvwp diskon promo info freelance job receh zonauang tasya farasya prabowo gibran jokowi purbaya erick thohir bahlil trump,bonus pas download apk shopeepay saldo caranya upgrade spay plus log dengan akun shopee amp masukin kode referral ffjwvwp diskon promo info freelance job receh zonauang tasya farasya prabowo gibran jokowi purbaya erick thohir bahlil trump
1971602676736794997,Fri Sep 26 15:48:03 +0000 2025,0,Menteri Purbaya Wapres @gibran_tweet n Presiden @prabowo mending Jangan bnyk Omon omon di Media dan Cari Panggung..Segera Benahi Rupiah.Jangan Pencitraan Bansos terus..Rakyat butuh Kesejahteraan Nyata.Bukan angiin kosong.,1971602676736794997,,,in,,0,0,0,https://x.com/undefined/status/1971602676736794997,1743488759759581184,,menteri purbaya wapres n presiden mending jangan bnyk omon omon di media dan cari panggungsegera benahi rupiahjangan pencitraan bansos terusrakyat butuh kesejahteraan nyatabukan angiin kosong,menteri purbaya wapres presiden mending jangan bnyk omon omon media dan cari panggungsegera benahi rupiahjangan pencitraan bansos terusrakyat butuh kesejahteraan nyatabukan angiin kosong
1971599684990079276,Fri Sep 26 15:36:10 +0000 2025,0,Kalo untuk Pidato..bisa diakui..Seorang @prabowo luar biasa..dengan gaya khas pukul podium..Tapi untuk kinerja ekonomi..masih sebatas omon omon belaka..buktinya Rupiah masih KEOK..mana ini gebrakan Purbaya?!?,1971599684990079276,,,in,,0,0,0,https://x.com/undefined/status/1971599684990079276,1743488759759581184,,kalo untuk pidatobisa diakuiseorang luar biasadengan gaya khas pukul podiumtapi untuk kinerja ekonomimasih sebatas omon omon belakabuktinya rupiah masih keokmana ini gebrakan purbaya,kalau untuk pidatobisa diakuiseorang luar biasadengan gaya khas pukul podiumtapi untuk kinerja ekonomimasih sebatas omon omon belakabuktinya rupiah masih keokmana ini gebrakan purbaya
1971596551933026471,Fri Sep 26 15:23:43 +0000 2025,0,purbaya itu adalah sebenar benarnya representasi bos ku. koboi blak blakan. idk bout purbaya but bos ku baik bgt.,1971596551933026471,,,in,,0,0,0,https://x.com/undefined/status/1971596551933026471,1546135733999915008,,purbaya itu adalah sebenar benarnya representasi bos ku koboi blak blakan idk bout purbaya but bos ku baik bgt,purbaya itu adalah sebenar benarnya representasi bos koboi blak blakan idk bout purbaya but bos baik banget
1971596395967906204,Fri Sep 26 15:23:05 +0000 2025,0,hidup purbaya,1971596395967906204,,,in,,0,0,0,https://x.com/undefined/status/1971596395967906204,1546135733999915008,,hidup purbaya,hidup purbaya
1971595788707930327,Fri Sep 26 15:20:41 +0000 2025,0,Menkeu Purbaya Imbau Wajib Pajak Orang Kaya untuk Patuhi Aturan https://t.co/Hw6CjW55l6,1971595788707930327,,,in,,0,0,0,https://x.com/undefined/status/1971595788707930327,1578222594,,menkeu purbaya imbau wajib pajak orang kaya untuk patuhi aturan,menkeu purbaya imbau wajib pajak orang kaya untuk patuhi aturan
1971594613988438315,Fri Sep 26 15:16:01 +0000 2025,0,Udah gue antisipasi sejak purbaya jadi menteri. Eh bahkan sejak wowo dilantik.,1971594613988438315,,,in,,0,0,0,https://x.com/undefined/status/1971594613988438315,1760906635768410112,,udah gue antisipasi sejak purbaya jadi menteri eh bahkan sejak wowo dilantik,udah gue antisipasi sejak purbaya jadi menteri bahkan sejak wowo dilantik
1971564842386592054,Fri Sep 26 15:13:18 +0000 2025,0,@Metro_TV Gue suka gaya elu @purbaya menkeu #stopkeracunanjanganmbgnya,1971593930878927170,,Metro_TV,in,,0,1,0,https://x.com/undefined/status/1971593930878927170,1955134282156191744,,gue suka gaya elu menkeu,gue suka gaya elu menkeu
