id_str,created_at,full_text,normalized_text,favorite_count,reply_count,retweet_count,full_text_no_hashtag
1972653669872177634,Mon Sep 29 13:24:19 +0000 2025,Menkeu Purbaya lagi nge-push Pak Jokowi buat kasih 'approval' biar ekonomi kita makin 'cair'. Semoga 'supply chain' lancar inflasi bisa 'dikondisikan' dan 'growth' kita makin 'gaspol' deh! Bumi #MemberiYangTerbaik https://t.co/YcLawrQD95,menkeu purbaya lagi ngepush pak jokowi buat kasih approval biar ekonomi kita makin cair semoga supply chain lancar inflasi bisa dikondisikan dan growth kita makin gaspol deh bumi,2,0,1,Menkeu Purbaya lagi nge-push Pak Jokowi buat kasih 'approval' biar ekonomi kita makin 'cair'. Semoga 'supply chain' lancar inflasi bisa 'dikondisikan' dan 'growth' kita makin 'gaspol' deh! Bumi  https://t.co/YcLawrQD95
1972652223730794993,Mon Sep 29 13:18:34 +0000 2025,super kocak mimpi ke dokter gigi dan gongs nya lagi dokter giginya mentri keuangan indonesia saat ini bapak purbaya,super kocak mimpi dokter gigi dan gongs nya lagi dokter giginya mentri keuangan indonesia saat ini bapak purbaya,0,0,0,super kocak mimpi ke dokter gigi dan gongs nya lagi dokter giginya mentri keuangan indonesia saat ini bapak purbaya
1972650599247426037,Mon Sep 29 13:12:07 +0000 2025,Gilak emng lord purbaya ni mirip bu susi sat set,gilak emng lord purbaya mirip susi sat set,0,0,0,Gilak emng lord purbaya ni mirip bu susi sat set
1972643839543586837,Mon Sep 29 12:45:15 +0000 2025,@ardi_tama1 Bisa dikurangi Dulu krn bowo g yakin dgn SM. Jurusnya paling2 naikin pajak realokasi anggaran klo kepepet baru utang Bowo bilang rasio hutang masih konservatif Akhirnya dia mau naikin ratio pajak. Jelas butuh lebih banyak orang Tpi klo jurus purbaya sukses g butuh banyak orang,bisa dikurangi dulu karena bowo yakin dengan sama jurusnya paling naikin pajak realokasi anggaran kalau kepepet baru utang bowo bilang rasio hutang masih konservatif akhirnya dia mau naikin ratio pajak jelas butuh lebih banyak orang tpi kalau jurus purbaya sukses butuh banyak orang,1,0,0,@ardi_tama1 Bisa dikurangi Dulu krn bowo g yakin dgn SM. Jurusnya paling2 naikin pajak realokasi anggaran klo kepepet baru utang Bowo bilang rasio hutang masih konservatif Akhirnya dia mau naikin ratio pajak. Jelas butuh lebih banyak orang Tpi klo jurus purbaya sukses g butuh banyak orang
1972642661149594041,Mon Sep 29 12:40:35 +0000 2025,Heboh! Anak Menkeu Purbaya Sadewa Pamer Gepokan Dolar AS dan Hasil Trading Miliaran di TikTok! Nggak boleh? https://t.co/NDU4go6vjO,heboh anak menkeu purbaya sadewa pamer gepokan dolar dan hasil trading miliaran tiktok tidak boleh,0,0,0,Heboh! Anak Menkeu Purbaya Sadewa Pamer Gepokan Dolar AS dan Hasil Trading Miliaran di TikTok! Nggak boleh? https://t.co/NDU4go6vjO
1972642173603684478,Mon Sep 29 12:38:38 +0000 2025,Bung @aniesbaswedan jebolan S3 jugak! Apa daya QC survey Qodari 58% &amp; KPU bikin 02 pemenangnya @prabowo-Gibran yg S3nya SD SMP SMA penyetaraan yg menang Pilpres. Amit2 jabang Prabowo Colek AHY hingga Purbaya: S-3 Kalau Tak Bisa Perbaiki Sistem Kelewatan https://t.co/Jjck4RZPUZ,bung jebolan jugak apa daya survey qodari amp kpu bikin pemenangnya gibran yang snya smp sma penyetaraan yang menang pilpres amit jabang prabowo colek ahy hingga purbaya kalau tak bisa perbaiki sistem kelewatan,0,0,0,Bung @aniesbaswedan jebolan S3 jugak! Apa daya QC survey Qodari 58% &amp; KPU bikin 02 pemenangnya @prabowo-Gibran yg S3nya SD SMP SMA penyetaraan yg menang Pilpres. Amit2 jabang Prabowo Colek AHY hingga Purbaya: S-3 Kalau Tak Bisa Perbaiki Sistem Kelewatan https://t.co/Jjck4RZPUZ
1972640250997461340,Mon Sep 29 12:31:00 +0000 2025,Rp. 10.000 saldo dpt pas download apk shopeepay banyak promo Caranya: Upgrade ke spay plus login dg akun shopee &amp; masukin kode referral FF6JWV5WP diskon info freelance job receh zonauang menpora erick thohir bahlil prabowo jokowi purbaya indra sjafri https://t.co/jrJWpyIjPR https://t.co/XbWT7e912e,saldo dpt pas download apk shopeepay banyak promo caranya upgrade spay plus login dengan akun shopee amp masukin kode referral ffjwvwp diskon info freelance job receh zonauang menpora erick thohir bahlil prabowo jokowi purbaya indra sjafri,0,0,0,Rp. 10.000 saldo dpt pas download apk shopeepay banyak promo Caranya: Upgrade ke spay plus login dg akun shopee &amp; masukin kode referral FF6JWV5WP diskon info freelance job receh zonauang menpora erick thohir bahlil prabowo jokowi purbaya indra sjafri https://t.co/jrJWpyIjPR https://t.co/XbWT7e912e
1972640075482816794,Mon Sep 29 12:30:18 +0000 2025,ULTIMATUM Menkeu Purbaya Berantas Peredaran Rokok Ilegal hingga Perketat Bea Cukai https://t.co/oDwl7gt8dc lewat @tribunnews,ultimatum menkeu purbaya berantas peredaran rokok ilegal hingga perketat bea cukai lewat,0,0,0,ULTIMATUM Menkeu Purbaya Berantas Peredaran Rokok Ilegal hingga Perketat Bea Cukai https://t.co/oDwl7gt8dc lewat @tribunnews
1972639768803696983,Mon Sep 29 12:29:05 +0000 2025,@biantoro_robin @jackcfrost ANJINK TOLOL. Dia 17thn jadi Menteri Keuangan dan ga ada 1 pun EKONOM berani ANALISA sistem keuangannya krn dia pake TEORI MONETER REAL. Noh Purbaya baru naik2 lgsg dimaki-maki sama semua EKONOM dibilang Jangan sampe GAGAL . Krn dia pake MONETER HIGH RISK alias teori murahan.,anjink tolol dia thn jadi menteri keuangan dan tidak ada pun ekonom berani analisa sistem keuangannya karena dia pake teori moneter real noh purbaya baru naik lgsg dimakimaki sama semua ekonom dibilang jangan sampe gagal karena dia pake moneter high risk alias teori murahan,1,2,0,@biantoro_robin @jackcfrost ANJINK TOLOL. Dia 17thn jadi Menteri Keuangan dan ga ada 1 pun EKONOM berani ANALISA sistem keuangannya krn dia pake TEORI MONETER REAL. Noh Purbaya baru naik2 lgsg dimaki-maki sama semua EKONOM dibilang Jangan sampe GAGAL . Krn dia pake MONETER HIGH RISK alias teori murahan.
1972639253713891531,Mon Sep 29 12:27:02 +0000 2025,Menkeu Purbaya sowan ke Jokowi bukan sekadar formalitas melainkan sinyal bahwa ekonomi tak hanya soal angka dan regulasi tapi juga soal legitimasi kepemimpinan karena dalam politik-ekonomi restu berarti stabilitas stabilitas melahirkan kepercayaan dan kepercayaan itulah https://t.co/qsDCnlU8Ge,menkeu purbaya sowan jokowi bukan sekadar formalitas melainkan sinyal bahwa ekonomi tak hanya soal angka dan regulasi tapi juga soal legitimasi kepemimpinan karena dalam politikekonomi restu berai stabilitas stabilitas melahirkan kepercayaan dan kepercayaan itulah,121,7,24,Menkeu Purbaya sowan ke Jokowi bukan sekadar formalitas melainkan sinyal bahwa ekonomi tak hanya soal angka dan regulasi tapi juga soal legitimasi kepemimpinan karena dalam politik-ekonomi restu berarti stabilitas stabilitas melahirkan kepercayaan dan kepercayaan itulah https://t.co/qsDCnlU8Ge
