id_str,created_at,full_text,normalized_text,favorite_count,reply_count,retweet_count
1977243666852069721,Sun Oct 12 05:23:20 +0000 2025,@abellamendoza17 Menteri/Wamen dan utusan2 bisa dipecatkah sebagian pak Purbaya...? Terlalu rame habiskan APBN,menteriwamen dan utusan bisa dipecatkah sebagian pak purbaya terlalu rame habiskan apbn,0,0,0
1977242866943770700,Sun Oct 12 05:20:09 +0000 2025,Setiap ada berita atau video statement Pak Purbaya selalu tertarik untuk melihat sampai akhir. Yang disampaikan segar solusi dan optimis,setiap ada berita atau video statement pak purbaya selalu tearik untuk melihat sampai akhir yang disampaikan segar solusi dan optimis,0,0,0
1977242827982565780,Sun Oct 12 05:20:00 +0000 2025,Perbaikan Ponpes Al-Khoziny Buduran Pakai APBN? Begini Jawab Menkeu Purbaya | SAPA PAGI https://t.co/JtFDGEwCz0,perbaikan ponpes alkhoziny buduran pakai apbn begini jawab menkeu purbaya sapa pagi,0,1,0
1977242372443615608,Sun Oct 12 05:18:11 +0000 2025,purbaya blm ngapa2in knp udh heboh warganet ya hey sabar,purbaya belum ngapain knp udh heboh warganet hey sabar,0,0,0
1977242052233769092,Sun Oct 12 05:16:55 +0000 2025,Purbaya Ogah Utang KCIC Jadi Beban APBN: Danantara Punya Dividen https://t.co/QQYavCZM56,purbaya ogah utang kcic jadi beban apbn danantara punya dividen,0,0,0
1977241941810241803,Sun Oct 12 05:16:28 +0000 2025,Asal Tax Ratio Tembus 12 Persen Purbaya Beri Penghargaan kepada Pegawai Pajak https://t.co/Gbh5ipV7yq #asal #tax #ratio #tembus #12persen #purbaya #penghargaan #kepada #pegawai #pajak,asal tax ratio tembus persen purbaya beri penghargaan kepada pegawai pajak,0,0,0
1977241845966250140,Sun Oct 12 05:16:06 +0000 2025,Purbaya terlalu banyak berita takut aja tb tb di reshuffle org baik biasanya disingkirkan,purbaya terlalu banyak berita takut aja reshuffle orang baik biasanya disingkirkan,0,0,0
1977241569813058035,Sun Oct 12 05:15:00 +0000 2025,Menteri Keuangan Purbaya Yudhi Sadewa memamerkan hasil kinerjanya setelah satu bulan menjabat. Ia unjuk gigi atas peningkatan Indeks Harga Saham Gabungan (IHSG) belakangan ini. Hal itu diungkapkan Purbaya saat menghadiri acara Investor Daily Summit di Jakarta Convention https://t.co/sOv6DpRomJ,menteri keuangan purbaya yudhi sadewa memamerkan hasil kinerjanya setelah satu bulan menjabat unjuk gigi atas peningkatan indeks harga saham gabungan ihsg belakangan ini hal itu diungkapkan purbaya saat menghadiri acara investor daily summit jakaa convention,1,0,2
1977241443896115561,Sun Oct 12 05:14:30 +0000 2025,@msaid_didu Sampeyan katanya senior pengalaman.. di prank pak Purbaya .. lsg mirip... Ketahuan kalau benci penol makin akut baiknya datangi.ustad D.latief .. minta pertobatan !!! .. mogi2 unserstand..!wass,sampeyan katanya senior pengalaman prank pak purbaya lsg mirip ketahuan kalau benci penol makin akut baiknya datangiustad dlatief minta peobatan mogi unserstandwass,0,0,0
1977241358097432673,Sun Oct 12 05:14:09 +0000 2025,Menkeu Purbaya emang top .. kerjanya kek gak ada beban politik Beliaua kerjanya dengan menggunakan hati https://t.co/3AqMgpuInN,menkeu purbaya emang top kerjanya kek tidak ada beban politik beliaua kerjanya dengan menggunakan hati,5,0,2
1977240767157735448,Sun Oct 12 05:11:48 +0000 2025,kobisa 2 match hidup mati dibuat bahan experiment taktikal kobisa masang pemain dengan alasan gaenak klo diaspora semua starting eleven nya kobisa si trick patrick erick ni juga purbaya sebulan kerja IHSG naik elu 2 taon kerja jabatan lo yg nambah.,kobisa match hidup mati dibuat bahan experiment taktikal kobisa masang pemain dengan alasan gaenak kalau diaspora semua staing eleven nya kobisa trick patrick erick juga purbaya sebulan kerja ihsg naik elu taon kerja jabatan yang nambah,0,0,0
1977239441807909278,Sun Oct 12 05:06:32 +0000 2025,selama ini purbaya udah melakukan apa yang terbukti baik untuk keuangan indonesia selain gaya bicaranya yang ceplas ceplos?,selama ini purbaya udah melakukan apa yang terbukti baik untuk keuangan indonesia selain gaya bicaranya yang ceplas ceplos,0,0,0
1977236537046974617,Sun Oct 12 04:55:00 +0000 2025,Sumber: CNN Indonesia https://t.co/MBVUoT6PDp,sumber cnn indonesia,0,0,0
1977236498086084835,Sun Oct 12 04:54:51 +0000 2025,@lionclown_ @tanyarlfes Pak Purbaya?,pak purbaya,0,1,0
1977235136031973605,Sun Oct 12 04:49:26 +0000 2025,Dibandingkan Era Jokowi Purbaya Blak-blakan Era SBY Rakyat Makmur meski Tak Banyak Infrastruktur https://t.co/20uSsosqti,dibandingkan era jokowi purbaya blakblakan era sby rakyat makmur meski tak banyak infrastruktur,0,0,0
1977234392075714984,Sun Oct 12 04:46:28 +0000 2025,@PresidenKopi Hati hati pak Purbaya. Anda main api @kemenkeu Opung dan jaringannya punya cara² khusus sikon spt itu Apalagi kl dikritisi .. sudah terbukti LBP aliran sumbu pendek. Sri Mulyani bisa bertahan cukup lama... She is the legend SBY 1 periode JKW 2 periode Prabowo &lt; 12 bulan https://t.co/l9RU4uMEZS,hati hati pak purbaya anda main api opung dan jaringannya punya cara khusus sikon spt itu apalagi dikritisi sudah terbukti lbp aliran sumbu pendek sri mulyani bisa beahan cukup lama she the legend sby periode jkw periode prabowo bulan,2,0,1
1977233791606501876,Sun Oct 12 04:44:05 +0000 2025,@logikakalsehat Gubernur BI lebih menantang daripada Ketua LPS. Purbaya merasa bisa berbuat banyak kalo dia jadi Gub BI,gubernur lebih menantang daripada ketua lps purbaya merasa bisa berbuat banyak kalau dia jadi gub,4,1,0
1977233748275216731,Sun Oct 12 04:43:55 +0000 2025,Saya lihat narasumber ILC kali ini hampir semuanya keliatan dungu dan wagu... Purbaya memang harus di kritik supaya tetap on the track. Tapi kritik di ILC kali ini justru memperlihatkan kebodohan narasumbernya.,saya lihat narasumber ilc kali ini hampir semuanya keliatan dungu dan wagu purbaya memang harus kritik supaya tetap the track tapi kritik ilc kali ini justru memperlihatkan kebodohan narasumbernya,1,0,0
1977233578955260331,Sun Oct 12 04:43:15 +0000 2025,Setuju Pak Purbaya. Harus tegas. Jangan mau diatur atur sama Geng Solo. Hebat Pak Pur...,setuju pak purbaya harus tegas jangan mau diatur atur sama geng solo hebat pak pur,0,0,0
1977232239957274971,Sun Oct 12 04:37:55 +0000 2025,Menkeu purbaya dorong peningkatan LIKUIDITAS dan INVESTASI agar ekonomi tumbuh lebih kuat https://t.co/OTPLE7SV2w,menkeu purbaya dorong peningkatan likuiditas dan investasi agar ekonomi tumbuh lebih kuat,0,0,0
1977232051054219506,Sun Oct 12 04:37:10 +0000 2025,Utang Kereta Cepat Capai Rp116 Triliun Purbaya: Jangan Sampai Negara Jadi Penanggung Utang BUMN Lagi https://t.co/6FmSon6OKc,utang kereta cepat capai triliun purbaya jangan sampai negara jadi penanggung utang bumn lagi,0,0,0
1977231173823971745,Sun Oct 12 04:33:41 +0000 2025,Kenapa penerimaan pajak kita tak optimal karena banyak yang suka nunggak pajak padahal orang kaya .. Bukan cuma 200 orang nunggak pajak tapi ribuan jumlahnya 60 Triliun https://t.co/RZqdbaT0Ma,kenapa penerimaan pajak kita tak optimal karena banyak yang suka nunggak pajak padahal orang kaya bukan cuma orang nunggak pajak tapi ribuan jumlahnya triliun,0,0,0
1977229864651608253,Sun Oct 12 04:28:29 +0000 2025,@KompasTV Kami Rakyat bersama Pak Purbaya,kami rakyat bersama pak purbaya,0,0,0
1977229519556886719,Sun Oct 12 04:27:07 +0000 2025,@Naz_lira makanya wajar Purbaya lebih tenar dari Mr. J yang kurapan itu https://t.co/RvoPpyfMPZ,makanya wajar purbaya lebih tenar dari yang kurapan itu,9,1,1
1977229448832598278,Sun Oct 12 04:26:50 +0000 2025,Utang RI Sentuh Rp 9.138 Triliun Purbaya: Masih Aman https://t.co/Cd9kgUFZyo via @InvestorID,utang sentuh triliun purbaya masih aman via,0,0,0
